id,match_id,league,market_type,prediction,odds_taken,closing_odds,clv_percentage,diamond_score,edge_pct,ev_expected,is_winner,profit_loss,source,created_at,implied_prob,predicted_prob,hours_before_match,data_quality_score,model_uncertainty,steam_move,odds_movement,league_tier,match_importance,reality_score,class_score,context_score,home_tier,away_tier,tier_difference,convergence_status,system_confidence,adjusted_confidence,reality_check_correct,home_form,home_pressing,home_style,home_win_rate,home_draw_rate,home_strength,away_form,away_pressing,away_style,away_win_rate,home_tier_class,home_power,home_big_game,away_tier_class,away_power,away_big_game,got_value,line_movement_pct
2376,a8594cd0764e1f3cc534b25f956fd9cc,,over_25,over_25,1.69,,,75,5.46,,True,0.69,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2375,a8594cd0764e1f3cc534b25f956fd9cc,,dc_12,dc_12,1.26,,,84,9.32,,True,0.26,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,73.3,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,44.8,1.0,,,,0,
2427,b705e5eb2770ca5eff66457ef5186b70,,dc_12,dc_12,1.23,,,83,5.13,,True,0.23,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-5.4,1,,50.0,50.0,50.0,C,C,0.0,strong_convergence,50.0,50.0,True,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,0.0,C,37.0,1.0,,,,0,
2428,b705e5eb2770ca5eff66457ef5186b70,,btts_no,btts_no,2.75,,,70,24.31,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-5.4,1,,50.0,50.0,50.0,C,C,0.0,strong_convergence,50.0,50.0,True,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,0.0,C,37.0,1.0,,,,0,
2364,9e0e5bdd800cc118241de314ce4a9132,,over_25,over_25,1.42,,,57,-11.23,,True,0.42,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-14.1,1,,56.0,65.0,50.0,B,C,1.0,strong_convergence,56.0,56.0,True,neutral,medium,balanced_offensive,75.0,12.5,75.0,neutral,medium,balanced,0.0,B,46.0,1.0,,,,0,
2429,b705e5eb2770ca5eff66457ef5186b70,,dc_1x,dc_1x,1.11,,,69,4.91,,True,0.11,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-5.4,1,,50.0,50.0,50.0,C,C,0.0,strong_convergence,50.0,50.0,True,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,0.0,C,37.0,1.0,,,,0,
2445,c16d1a31b740d616be8a61e383bd37c3,,home,home,1.49,,,13,-12.9,,True,0.49,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-61.5,1,,69.0,80.0,75.0,A,C,2.0,strong_convergence,69.0,69.0,True,neutral,medium,balanced_offensive,55.56,0.0,55.0,neutral,medium,balanced,0.0,A,58.0,1.0,,,,0,
2430,b705e5eb2770ca5eff66457ef5186b70,,over_25,over_25,1.71,,,55,-3.85,,True,0.71,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,-5.4,1,,50.0,50.0,50.0,C,C,0.0,strong_convergence,50.0,50.0,True,neutral,medium,offensive,57.14,14.29,57.0,neutral,medium,balanced,0.0,C,37.0,1.0,,,,0,
2255,4ff6147fc5c6947e4f89c99bf62724dd,,over_25,over_25,1.72,,,88,15.86,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,4.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,0.0,100.0,50.0,neutral,medium,balanced,0.0,D,34.0,1.0,,,,0,
2250,4ebffa6bee321ac461d480a3701321d0,,away,away,9.2,,,34,12.25,,False,-1.0,orchestrator_v6_corrected,2025-11-27 11:40:45.449500,,,,,,False,5.2,1,,44.0,35.0,50.0,D,C,-1.0,strong_convergence,44.0,44.0,False,neutral,medium,offensive,100.0,0.0,100.0,neutral,medium,defensive,12.5,D,34.0,1.0,C,38.8,1.0,0,
